x,y,color,row,column,isHorizontal,width,height,angle(rad)
87, 22, 1, 0, 1, True,9,18,0.14712348785215318
106, 25, -1, 0, 3, True,9,18,0.14712348785215304
126, 28, -1, 0, 5, True,9,18,0.14712348785215318
145, 31, 1, 0, 7, True,9,18,0.1471234878521526
164, 34, -1, 0, 9, True,9,18,0.1471234878521534
183, 36, -1, 0, 11, True,9,18,0.14712348785215304
203, 39, -1, 0, 13, True,9,18,0.14712348785215296
222, 42, 1, 0, 15, True,9,18,0.14712348785215296
241, 45, -1, 0, 17, True,9,18,0.1471234878521534
260, 48, 1, 0, 19, True,9,18,0.14712348785215268
280, 51, 1, 0, 21, True,9,18,0.1471234878521538
299, 54, -1, 0, 23, True,9,18,0.14712348785215296
318, 56, -1, 0, 25, True,9,18,0.14712348785215296
337, 59, 1, 0, 27, True,9,18,0.14712348785215223
356, 62, -1, 0, 29, True,9,18,0.14712348785215296
376, 65, -1, 0, 31, True,9,18,0.1471234878521538
395, 68, 1, 0, 33, True,9,18,0.14712348785215296
414, 71, -1, 0, 35, True,9,18,0.14712348785215154
433, 74, -1, 0, 37, True,9,18,0.14712348785215237
453, 76, 1, 0, 39, True,9,18,0.14712348785215296
76, 30, 1, 1, 0, False,9,18,0.14731559095308605
95, 33, -1, 1, 2, False,9,18,0.1473155909530855
114, 36, -1, 1, 4, False,9,18,0.14731559095308605
134, 39, 1, 1, 6, False,9,18,0.14731559095308605
153, 42, -1, 1, 8, False,9,18,0.14731559095308536
172, 45, -1, 1, 10, False,9,18,0.14731559095308563
191, 48, 1, 1, 12, False,9,18,0.14731559095308536
210, 50, 1, 1, 14, False,9,18,0.14731559095308563
230, 53, -1, 1, 16, False,9,18,0.14731559095308605
249, 56, 1, 1, 18, False,9,18,0.14731559095308605
268, 59, -1, 1, 20, False,9,18,0.14731559095308605
287, 62, 1, 1, 22, False,9,18,0.14731559095308522
307, 65, -1, 1, 24, False,9,18,0.14731559095308522
326, 68, 1, 1, 26, False,9,18,0.14731559095308522
345, 70, -1, 1, 28, False,9,18,0.14731559095308522
364, 73, 1, 1, 30, False,9,18,0.1473155909530869
384, 76, -1, 1, 32, False,9,18,0.1473155909530869
403, 79, -1, 1, 34, False,9,18,0.1473155909530869
422, 82, -1, 1, 36, False,9,18,0.14731559095308547
441, 85, 1, 1, 38, False,9,18,0.14731559095308522
460, 88, -1, 1, 40, False,9,18,0.14731559095308522
84, 41, -1, 2, 1, True,9,18,0.14750769537037747
103, 44, 1, 2, 3, True,9,18,0.14750769537037747
122, 47, 1, 2, 5, True,9,18,0.14750769537037747
141, 50, 1, 2, 7, True,9,18,0.14750769537037747
161, 53, 1, 2, 9, True,9,18,0.14750769537037792
180, 56, 1, 2, 11, True,9,18,0.14750769537037747
199, 59, 1, 2, 13, True,9,18,0.14750769537037708
218, 61, -1, 2, 15, True,9,18,0.14750769537037747
238, 64, 1, 2, 17, True,9,18,0.14750769537037747
257, 67, -1, 2, 19, True,9,18,0.14750769537037664
276, 70, 1, 2, 21, True,9,18,0.14750769537037792
295, 73, 1, 2, 23, True,9,18,0.14750769537037708
314, 76, 1, 2, 25, True,9,18,0.14750769537037567
334, 79, -1, 2, 27, True,9,18,0.14750769537037567
353, 82, 1, 2, 29, True,9,18,0.1475076953703765
372, 84, -1, 2, 31, True,9,18,0.1475076953703765
391, 87, 1, 2, 33, True,9,18,0.14750769537037567
411, 90, 1, 2, 35, True,9,18,0.14750769537037567
430, 93, 1, 2, 37, True,9,18,0.14750769537037567
449, 96, -1, 2, 39, True,9,18,0.1475076953703765
72, 50, -1, 3, 0, False,9,18,0.14769980108986222
92, 53, 1, 3, 2, False,9,18,0.14769980108986222
111, 55, -1, 3, 4, False,9,18,0.14769980108986222
130, 58, 1, 3, 6, False,9,18,0.147699801089862
149, 61, -1, 3, 8, False,9,18,0.14769980108986222
168, 64, -1, 3, 10, False,9,18,0.14769980108986222
188, 67, 1, 3, 12, False,9,18,0.14769980108986222
207, 70, -1, 3, 14, False,9,18,0.1476998010898618
226, 73, 1, 3, 16, False,9,18,0.14769980108986222
245, 75, -1, 3, 18, False,9,18,0.14769980108986222
265, 78, 1, 3, 20, False,9,18,0.14769980108986264
284, 81, 1, 3, 22, False,9,18,0.14769980108986222
303, 84, -1, 3, 24, False,9,18,0.14769980108986222
322, 87, -1, 3, 26, False,9,18,0.14769980108986222
342, 90, 1, 3, 28, False,9,18,0.14769980108986222
361, 93, -1, 3, 30, False,9,18,0.14769980108986222
380, 95, 1, 3, 32, False,9,18,0.14769980108986222
399, 98, -1, 3, 34, False,9,18,0.14769980108986222
418, 101, 1, 3, 36, False,9,18,0.14769980108986222
438, 104, -1, 3, 38, False,9,18,0.14769980108986222
457, 107, 1, 3, 40, False,9,18,0.14769980108986222
80, 61, 1, 4, 1, True,9,18,0.14789190809737415
99, 64, -1, 4, 3, True,9,18,0.14789190809737415
119, 67, 1, 4, 5, True,9,18,0.14789190809737415
138, 69, -1, 4, 7, True,9,18,0.14789190809737415
157, 72, 1, 4, 9, True,9,18,0.14789190809737415
176, 75, 1, 4, 11, True,9,18,0.14789190809737274
196, 78, -1, 4, 13, True,9,18,0.14789190809737274
215, 81, 1, 4, 15, True,9,18,0.14789190809737415
234, 84, -1, 4, 17, True,9,18,0.14789190809737415
253, 87, 1, 4, 19, True,9,18,0.14789190809737415
272, 89, 1, 4, 21, True,9,18,0.14789190809737457
292, 92, -1, 4, 23, True,9,18,0.14789190809737374
311, 95, 1, 4, 25, True,9,18,0.14789190809737457
330, 98, 1, 4, 27, True,9,18,0.14789190809737515
349, 101, -1, 4, 29, True,9,18,0.14789190809737598
369, 104, 1, 4, 31, True,9,18,0.14789190809737515
388, 107, -1, 4, 33, True,9,18,0.14789190809737598
407, 110, 1, 4, 35, True,9,18,0.14789190809737515
426, 112, -1, 4, 37, True,9,18,0.14789190809737598
